Lone_Wolf_PR_ID,Repo_URL,AI_Agent,Evidence_Human,Gap_Days
3115867945,https://api.github.com/repos/commaai/opendbc,OpenAI_Codex,sshane,5
3077534093,https://api.github.com/repos/dotnet/aspire,Copilot,danmoseley,3
3094755571,https://api.github.com/repos/julep-ai/julep,OpenAI_Codex,HamadaSalhab,1
3103074372,https://api.github.com/repos/OpenHFT/Chronicle-Wire,OpenAI_Codex,peter-lawrey,0
3094667636,https://api.github.com/repos/OpenHFT/Chronicle-Core,OpenAI_Codex,peter-lawrey,0
3086740486,https://api.github.com/repos/dropseed/plain,OpenAI_Codex,davegaeddert,1
3095678423,https://api.github.com/repos/seasonedcc/remix-forms,OpenAI_Codex,danielweinmann,0
3077852161,https://api.github.com/repos/seasonedcc/remix-forms,OpenAI_Codex,danielweinmann,0
3085575339,https://api.github.com/repos/OpenHFT/Java-Thread-Affinity,OpenAI_Codex,peter-lawrey,0
3076603836,https://api.github.com/repos/raycast/extensions,OpenAI_Codex,jmetrikat,6
3154339119,https://api.github.com/repos/mitsuhiko/insta,Claude_Code,max-sixty,48
3129392610,https://api.github.com/repos/SimonHalvdansson/Harmonic-HN,OpenAI_Codex,pR0Ps,5
3143771583,https://api.github.com/repos/sandrohanea/whisper.net,OpenAI_Codex,sandrohanea,0
3200617835,https://api.github.com/repos/microsoft/vscode,Copilot,joshspicer,6
3109454543,https://api.github.com/repos/OpenHFT/Chronicle-Wire,OpenAI_Codex,peter-lawrey,0
3219696751,https://api.github.com/repos/dotnet/aspnetcore,Copilot,MackinnonBuck,13
3077907407,https://api.github.com/repos/seasonedcc/remix-forms,OpenAI_Codex,danielweinmann,0
3082243434,https://api.github.com/repos/dotnet/runtime,Copilot,WeihanLi,2
3211901051,https://api.github.com/repos/shopware/shopware,Copilot,vienthuong,11
3118902779,https://api.github.com/repos/kubetail-org/kubetail,OpenAI_Codex,sheimaAli,4
3112770705,https://api.github.com/repos/microsoft/testfx,Copilot,Youssef1313,9
3083442664,https://api.github.com/repos/OpenHFT/Java-Thread-Affinity,OpenAI_Codex,peter-lawrey,1
3263180193,https://api.github.com/repos/go-vikunja/vikunja,Copilot,renovate[bot],27
